ano,mes,dia,hora,operation,wave_number,sequence,nome_pais_atacado,lat_alvo,lon_alvo,missoes_utilizados,drones_utilizados,total_armas_ofensivas,total_interceptado,taxa_interceptacao,indice_saturacao_defesa,fatalidades,feridos,intensidade_wave
2026,2,28,18,tp4,1,1,Israel,0.0,34.79,1.0,1.0,2.0,7.0,3.5,-5.0,2.0,21.0,muito_baixa
2026,2,28,21,tp4,2,2,Israel,0.0,34.77,1.0,1.0,2.0,5.0,2.5,-3.0,0.0,0.0,muito_baixa
2026,2,28,23,tp4,3,3,Israel,0.0,35.09,2.0,1.0,3.0,4.0,1.3333333333333333,-1.0,0.0,0.0,muito_baixa
2026,3,1,1,tp4,4,4,Israel,0.0,34.78,1.0,1.0,2.0,4.0,2.0,-2.0,0.0,0.0,muito_baixa
2026,3,1,4,tp4,5,5,Kuwait,0.0,47.97,2.0,1.0,3.0,1.0,0.3333333333333333,2.0,0.0,0.0,muito_baixa
2026,3,1,8,tp4,6,6,Israel,0.0,34.885,1.0,1.0,2.0,5.0,2.5,-3.0,0.0,0.0,muito_baixa
2026,3,1,14,tp4,7,7,Israel,0.0,47.52,2.0,1.0,3.0,1.0,0.3333333333333333,2.0,0.0,0.0,muito_baixa
2026,3,1,18,tp4,8,8,Israel,0.0,,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,muito_baixa
2026,3,1,22,tp4,9,9,Israel,0.0,34.77,1.0,1.0,2.0,3.0,1.5,-1.0,9.0,40.0,muito_baixa
2026,3,2,4,tp4,10,10,Israel,0.0,34.78,1.0,0.0,1.0,3.0,3.0,-2.0,0.0,10.0,muito_baixa
2026,3,2,10,tp4,11,11,Israel,0.0,35.07,1.0,1.0,2.0,3.0,1.5,-1.0,0.0,0.0,muito_baixa
2026,3,2,14,tp4,12,12,Kuwait,0.0,48.1,1.0,1.0,2.0,1.0,0.5,1.0,0.0,0.0,muito_baixa
2026,3,2,19,tp4,13,13,Kuwait,0.0,48.1,0.0,1.0,1.0,23.0,23.0,-22.0,0.0,0.0,muito_baixa
2026,3,3,2,tp4,14,14,Bahrein,0.0,50.59,1.0,1.0,2.0,1.0,0.5,1.0,0.0,0.0,muito_baixa
2026,3,3,16,tp4,15,15,Israel,0.0,34.77,1.0,1.0,2.0,3.0,1.5,-1.0,0.0,0.0,muito_baixa
2026,3,4,6,tp4,16,16,Israel,0.0,35.135,1.0,1.0,2.0,3.0,1.5,-1.0,0.0,0.0,muito_baixa
2026,3,4,9,tp4,17,17,Israel,0.0,34.77,1.0,0.0,1.0,3.0,3.0,-2.0,0.0,0.0,muito_baixa
2026,3,4,15,tp4,18,18,Israel,,34.87,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,muito_baixa
2026,3,5,6,tp4,19,19,Israel,0.0,34.995,1.0,1.0,2.0,4.0,2.0,-2.0,0.0,0.0,muito_baixa
2026,3,6,8,tp4,20,20,Israel,0.0,34.7818,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,muito_baixa
2026,3,6,4,tp4,21,21,Israel,0.0,34.7818,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,muito_baixa
2026,3,6,12,tp4,22,22,Israel,0.0,34.885,1.0,1.0,2.0,3.0,1.5,-1.0,0.0,0.0,muito_baixa
2026,3,6,20,tp4,23,23,Israel,,34.79,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,muito_baixa
2026,3,7,1,tp4,24,24,Israel,,34.77,1.0,0.0,1.0,2.0,2.0,-1.0,0.0,5.0,muito_baixa
2026,3,7,10,tp4,25,25,Israel,,35.5,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,muito_baixa
2026,3,7,15,tp4,26,26,Israel,,35.5,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,muito_baixa
2026,3,7,19,tp4,27,27,Israel,,35.0,1.0,1.0,2.0,3.0,1.5,-1.0,0.0,0.0,muito_baixa
2026,3,8,11,tp4,28,28,Israel,0.0,34.78,1.0,0.0,1.0,0.0,0.0,1.0,,,muito_baixa
2026,3,8,16,tp4,29,29,Israel,0.0,34.78,1.0,0.0,1.0,0.0,0.0,1.0,,,muito_baixa
2026,3,9,6,tp4,30,30,Israel,0.0,34.86,1.0,1.0,2.0,0.0,0.0,2.0,,,muito_baixa
2026,3,9,13,tp4,31,31,Israel,0.0,34.75,2.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,muito_baixa
2026,3,9,16,tp4,32,32,Israel,0.0,34.85,1.0,0.0,1.0,0.0,0.0,1.0,,,muito_baixa
2026,3,9,19,tp4,33,33,Israel,0.0,34.77,1.0,1.0,2.0,0.0,0.0,2.0,,,muito_baixa
2026,3,9,17,tp4,34,34,Israel,0.0,34.87,1.0,0.0,1.0,3.0,3.0,-2.0,0.0,16.0,muito_baixa
2026,3,10,1,tp4,35,35,Israel,0.0,34.89,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,muito_baixa
2026,3,10,0,tp4,36,36,Catar,0.0,51.31,1.0,1.0,2.0,26.0,13.0,-24.0,0.0,0.0,muito_baixa
2026,3,10,9,tp4,37,37,Israel,0.0,35.21,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,muito_baixa
2026,3,10,10,tp4,38,38,Israel,0.0,35.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,muito_baixa
2026,3,10,17,tp4,39,39,Israel,0.0,34.99,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,muito_baixa
