wave_id,operation,wave_number,data_evento,pais,latitude,longitude,drones,ballistic_missiles,cruise_missiles,estimated_munitions_count,estimated_intercept_rate,fatalities,injuries,intercepted
,tp1,1,2024-04-13 19:00:00+00:00,IL,30.89,34.78,,,,200.0,0.99,0.0,0.0,True
,tp1,2,,IL,30.89,34.78,,,,120.0,0.99,0.0,32.0,True
,tp2,1,2024-10-01 16:30:00+00:00,"IL, JO, PS",30.89,34.78,,,,100.0,,1.0,4.0,True
,tp2,2,,"IL, JO, PS",32.15,34.79,,,,100.0,,1.0,4.0,True
,tp3,1,2025-06-13 18:30:00+00:00,IL,31.66,34.78,,,,100.0,,,,True
,tp3,2,2025-06-13 19:30:00+00:00,IL,32.835,35.25,,,,,,,,True
,tp3,3,2025-06-14 15:00:00+00:00,IL,32.07,34.77,,,,,,,,True
,tp3,4,2025-06-14 19:00:00+00:00,IL,32.445,34.885,,,,,,,,True
,tp3,5,2025-06-15 05:00:00+00:00,IL,32.82,35.0,,,,,,,,True
,tp3,6,2025-06-15 15:00:00+00:00,IL,32.445,34.885,,,,,,9.0,200.0,True
,tp3,7,2025-06-16 04:00:00+00:00,IL,32.445,34.885,,,,,,,,True
,tp3,8,2025-06-16 00:00:00+00:00,IL,32.445,34.885,,,,,,,,True
,tp3,9,2025-06-16 12:00:00+00:00,IL,32.445,34.885,,,,,,,,True
,tp3,10,2025-06-17 08:00:00+00:00,IL,32.0567,35.02,,,,,,,,True
,tp3,11,2025-06-17 23:00:00+00:00,IL,31.25,34.79,,,,,,,,True
,tp3,12,2025-06-19 18:00:00+00:00,IL,32.07,34.77,,,,8.0,,,,True
,tp3,13,2025-06-20 00:00:00+00:00,IL,32.445,34.885,,,,,,,,True
,tp3,14,2025-06-20 08:00:00+00:00,IL,32.445,34.885,,,,,,,,True
,tp3,18,2025-06-21 14:00:00+00:00,IL,31.62,35.06,,,,,,3.0,,True
,tp3,19,2025-06-22 06:00:00+00:00,IL,32.445,34.885,,,,,,,,True
,tp3,20,2025-06-22 10:00:00+00:00,IL,32.07,34.77,,,,40.0,,,,True
,tp3,21,2025-06-23 09:00:00+00:00,IL,32.07,34.77,,,,,,,,True
,tp3,22,2025-06-24 03:30:00+00:00,IL,31.25,34.79,,,,14.0,,4.0,20.0,True
,tp4,1,2026-02-28 18:30:00+00:00,"AE, BH, IL, IQ, JO, OM, QA",31.07,34.79,,,,,,2.0,21.0,True
,tp4,2,2026-02-28 21:00:00+00:00,"IL, IQ",32.07,34.77,,,,,,0.0,0.0,True
,tp4,3,2026-02-28 23:45:00+00:00,"AE, BH, IL, IQ, JO, KW, SA",32.58,35.09,,,,35.0,,0.0,0.0,True
,tp4,4,2026-03-01 01:00:00+00:00,"IL, IQ, KW",31.66,34.78,,,,,,0.0,0.0,True
,tp4,5,2026-03-01 04:00:00+00:00,"CY, IO, KW",29.24,47.97,,,,,,0.0,0.0,nan
,tp4,6,2026-03-01 08:00:00+00:00,IL,32.445,34.885,,,,,,0.0,0.0,True
,tp4,7,2026-03-01 14:00:00+00:00,"AE, BH, IL, IO, KW, SA",29.35,47.52,,,,,,0.0,0.0,nan
,tp4,9,2026-03-01 22:00:00+00:00,"BH, CY, IL, KW, QA",32.07,34.77,,,,,,9.0,40.0,nan
,tp4,10,2026-03-02 04:00:00+00:00,"IL, SA",32.09,34.78,,,,,,0.0,10.0,nan
,tp4,11,2026-03-02 10:00:00+00:00,"AE, BH, CY, IL, JO, KW, OM, QA, SA",31.9875,35.07,,,,,,0.0,0.0,nan
,tp4,12,2026-03-02 14:30:00+00:00,"AE, BH, IO, IQ, KW",28.93,48.1,,,,31.0,,0.0,0.0,nan
,tp4,13,2026-03-02 19:00:00+00:00,KW,28.93,48.1,,,,,,0.0,0.0,nan
,tp4,14,2026-03-03 02:00:00+00:00,"BH, SA",25.92,50.59,,,,23.0,,0.0,0.0,nan
,tp4,15,2026-03-03 16:00:00+00:00,"AE, BH, IL, QA, SA",32.07,34.77,,,,,,0.0,0.0,nan
,tp4,16,2026-03-04 06:00:00+00:00,"AE, CY, IL, IQ, KW, SA, TR",32.46,35.135,,,,,,0.0,0.0,nan
,tp4,17,2026-03-04 09:00:00+00:00,IL,32.07,34.77,,,,,,0.0,0.0,nan
,tp4,19,2026-03-05 06:00:00+00:00,"BH, IL, KW, QA",31.925,34.995,,,,,,0.0,0.0,True
,tp4,20,,IL,32.0853,34.7818,,,,,,0.0,0.0,nan
,tp4,21,2026-03-06 04:00:00+00:00,IL,32.0853,34.7818,,,,,,0.0,0.0,nan
,tp4,22,2026-03-06 12:00:00+00:00,"AE, IL, QA",32.445,34.885,,,,,,0.0,0.0,True
,tp4,23,2026-03-06 20:31:00+00:00,"AE, BH, IL, KW, QA, SA",31.25,34.79,,,,,,0.0,0.0,True
,tp4,24,2026-03-07 01:30:00+00:00,IL,32.07,34.77,,,,45.0,,0.0,5.0,True
,tp4,25,2026-03-07 10:35:00+00:00,"AE, IL",32.85,35.5,,,,60.0,,0.0,0.0,True
,tp4,26,2026-03-07 15:15:00+00:00,"AE, IL, KW",32.85,35.5,,,,37.0,,0.0,0.0,True
,tp4,27,2026-03-07 19:45:00+00:00,"IL, KW",32.82,35.0,,,,30.0,,0.0,0.0,True
,tp4,28,2026-03-08 11:22:00+00:00,"IL, JO",31.66,34.78,,,,,,,,nan
,tp4,29,2026-03-08 16:00:00+00:00,IL,31.66,34.78,,,,,,,,nan
