id_da_onda,operacao,numero_da_onda,codinome_farsi_da_onda,codinome_ingles_da_onda,anunciado_utc,fonte_do_anuncio,horario_provavel_de_lancamento,horario_lancamento_israel,horario_lancamento_ira,fase_solar_local_lancamento,fase_solar_alvo,dia_do_conflito,horas_desde_ultima_onda,tempo_entre_ondas_minutos,duracao_da_onda_minutos,carga_util,drones_utilizados,misseis_balisticos_utilizados,misseis_de_cruzeiro_utilizados,emad_used,ghadr_used,sejjil_used,kheibar_shekan_used,fattah_used,shahed_136_used,shahed_238_used,shahed_131_used,shahed_107_used,shahed_129_used,mohajer_6_used,bm_liquid_fueled,bm_solid_fueled,bm_marv_equipped,bm_hypersonic,bm_cluster_warhead,cluster_munitions,cluster_warhead_confirmed,cluster_carrier_missile,cluster_submunition_count,cluster_submunition_explosive_kg,cluster_dispersal_radius_km,israel_targeted,us_bases_targeted,alvos,landings_countries_iso,paises_de_impacto,targeted_tel_aviv,targeted_jerusalem,targeted_haifa,targeted_negev_beersheba,targeted_northern_periphery,targeted_eilat,us_bases_list,us_naval_vessels_list,target_lat,target_lon,target_generic_location,launch_site_description,launch_site_lat,launch_site_lon,launch_site_generic_location,interceptado,interception_systems,intercepted_by_israel,intercepted_by_us,intercepted_by_uk,intercepted_by_jordan,intercepted_by_other,estimated_intercept_count,estimated_intercept_rate,exoatmospheric_interception,endoatmospheric_interception,interception_report,estimated_munitions_count,munitions_targeting_israel,munitions_targeting_us_bases,cumulative_total,small_number_of_missiles,danos,mortes,feridos,civilian_casualties,military_casualties,new_country_targeted,new_weapon_first_use,proxy_involvement,proxy_description,descricao,iranian_media_claims,idf_statement,source_urls,target_iaf_base,target_us_base,target_naval_base,target_naval_vessel,target_government_c2,target_military_industrial,target_intelligence,target_civilian_infrastructure,target_civilian_area,target_diplomatic,narrativa
tp1_w01,tp1,1,,Drone/Cruise Missile Wave,2024-04-13T19:00:00Z,IRGC,2024-04-13T19:00:00Z,2024-04-13T22:00:00+0300,2024-04-13T22:30:00+0330,0.0,0.0,1,,,,170 Shahed-136 loitering munitions and 30 Paveh cruise missiles,True,False,True,False,False,False,False,False,True,False,,,,,False,False,False,False,,False,,,,,,True,False,"Nevatim Airbase, sites in Negev desert and Israeli-occupied Golan Heights",IL,Israel,False,False,False,True,True,False,,,30.89,34.78,False,Multiple sites across Iran; Shahed drones also launched from Iraq and Yemen by proxies,33.0,52.0,False,True,"Iron Dome, David's Sling, Patriot PAC-3, Aegis BMD / SM-3",True,True,True,True,France,,0.99,False,True,US CENTCOM reported destroying more than 80 one-way attack drones and at least 6 ballistic missiles. Jordan and UK RAF also intercepted drones over Jordanian airspace. France contributed to interception efforts.,200.0,200.0,0.0,200.0,,Minimal — most munitions intercepted before reaching Israeli airspace,0.0,0.0,0.0,0.0,True,False,True,"Coordinated with Hezbollah (Lebanon), Islamic Resistance in Iraq, and Ansar Allah (Houthis, Yemen). Drones and rockets also launched from Iraqi, Yemeni, and Lebanese territory.","First wave of Shahed-136 loitering munitions and Paveh cruise missiles intended to saturate Israeli air defenses (Iron Dome, David's Sling) ahead of the ballistic missile wave. Drones launched several hours before ballistic missiles due to slower flight speed (~185 km/h for Shahed-136 vs minutes for ballistic missiles).",,"IDF reported 170 drones, 30 cruise missiles, 120 ballistic missiles launched; 99% interception rate","https://en.wikipedia.org/wiki/April_2024_Iranian_strikes_on_Israel, https://www.aljazeera.com/news/2024/4/14/true-promise-why-and-how-did-iran-launch-a-historic-attack-on-israel",True,False,False,False,False,False,False,False,False,False,"The first wave of Iran's inaugural direct attack on Israel. Launched on the night of 13 April 2024, this wave comprised a large combined salvo of Shahed-136 drones, ballistic missiles, and cruise missiles targeting Nevatim Airbase and sites across the Negev desert and Israeli-occupied Golan Heights. The attack was widely telegraphed in advance, giving Israel, the US, UK, France, and Jordan time to coordinate a multilayered defensive response. The overwhelming majority of munitions were intercepted."
tp1_w02,tp1,2,,Ballistic Missile Wave,,,2024-04-13T23:00:00Z,2024-04-14T02:00:00+0300,2024-04-14T02:30:00+0330,0.0,0.0,1,4.0,240.0,,"120 ballistic missiles including Emad, Ghadr (Ghadr-S/H/F variants), Kheibar Shekan, possibly Shahab-3B",False,True,False,True,True,False,True,False,False,False,False,,,False,True,True,True,False,,False,,,,,,True,False,"Nevatim Airbase (primary), Ramon Airbase area, sites in Negev desert and Golan Heights",IL,Israel,False,False,False,True,True,False,,,30.89,34.78,False,IRGC Aerospace Force launch sites in western and central Iran,33.5,50.0,False,True,"Arrow-2, Arrow-3, Aegis BMD / SM-3, Patriot PAC-3",True,True,False,True,,,0.99,True,True,"Arrow-2 and Arrow-3 intercepted ballistic missiles, with Arrow-3 performing exoatmospheric interceptions. SM-3 from US Navy destroyers was used in combat for the first time. A small number of ballistic missiles struck Nevatim Airbase causing minor damage; the base remained fully operational.",120.0,120.0,0.0,320.0,,Minor damage to Nevatim Airbase (base remained operational); debris fell in Arad region,0.0,32.0,32.0,0.0,False,False,False,Ballistic missile wave launched directly by IRGC Aerospace Force from Iranian territory,"Second wave of 120 ballistic missiles (Emad, Ghadr, Kheibar Shekan, possibly Shahab-3B) timed to arrive after drone wave had engaged Israeli air defense systems. Ballistic missiles launched later but arrived within minutes due to much higher velocity. Several missiles struck Nevatim Airbase area causing minor damage.",,99% of incoming weapons intercepted; minor damage to Nevatim Airbase,"https://en.wikipedia.org/wiki/April_2024_Iranian_strikes_on_Israel, https://besacenter.org/operation-true-promise-irans-missile-attack-on-israel/, https://www.iranwatch.org/our-publications/articles-reports/irans-missile-attack-against-israel",True,False,False,False,False,False,False,False,False,False,"The second and final wave of True Promise 1, continuing the bombardment of Nevatim Airbase and the Ramon Airbase area in the Negev. This wave followed the initial drone/missile salvo by several hours, with ballistic missiles arriving after the slower drones. Minor damage was reported at Nevatim. The combined two-wave attack involved approximately 320 munitions — the largest single aerial assault in the region's history at the time. Israel's multi-tier defense (Arrow, David's Sling, Iron Dome) achieved a near-total interception rate with coalition support."
tp2_w01,tp2,1,,First Ballistic Salvo,2024-10-01T16:30:00Z,IRGC,2024-10-01T16:30:00Z,2024-10-01T19:30:00+0300,2024-10-01T20:00:00+0330,0.0,0.0,1,,,,"Emad, Ghadr-H, Ghadr-F, Kheibar Shekan ballistic missiles",False,True,False,True,True,False,True,False,False,False,False,,,False,True,True,True,False,,False,,,,,,True,False,"Nevatim Airbase (primary), Tel Nof Airbase, Hatzerim Airbase","IL, JO, PS","Israel, Jordan, Palestine",False,False,False,True,False,False,,,30.89,34.78,False,IRGC Aerospace Force launch sites in western Iran,33.5,50.0,False,True,"Arrow-2, Arrow-3, David's Sling, Aegis BMD / SM-3",True,True,True,True,France,,,True,True,"Arrow-2 and Arrow-3 engaged incoming ballistic missiles. US Navy destroyers fired SM-3 interceptors. Despite interceptions, 20-32 missiles struck Nevatim Airbase area and 3 struck Tel Nof area per satellite analysis.",100.0,100.0,0.0,100.0,,Nevatim Airbase: hangar and taxiway damaged (20-32 impacts confirmed by satellite); Tel Nof Airbase: several impacts; Gedera: school building hit,1.0,4.0,5.0,,False,False,False,No proxy coordination — TP2 was a unilateral IRGC operation unlike the multi-front TP1,"First wave of approximately 100 ballistic missiles targeting Israeli military airbases and intelligence facilities. Unlike TP1, no drones or cruise missiles were used — Iran opted for a purely ballistic approach to minimize warning time. Missiles included Emad, Ghadr-H, Ghadr-F, and Kheibar Shekan. Iran gave only a few hours' warning to Arab states (compared to 72 hours in TP1).",,IDF reported approximately 200 ballistic missiles fired in two waves,"https://en.wikipedia.org/wiki/October_2024_Iranian_strikes_on_Israel, https://www.npr.org/2024/10/04/nx-s1-5140058/satellite-images-dozens-iranian-missiles-struck-near-israeli-air-base",True,False,False,False,False,False,False,False,False,False,"True Promise 2 opened with a ballistic-missile-only salvo on 1 October 2024, a significant tactical shift from TP1's mixed drone/missile approach. Approximately 180–200 Emad and Ghadr ballistic missiles targeted Nevatim, Tel Nof, and Hatzerim airbases. The absence of slow-moving drones meant defenders had far less warning time. Some missiles penetrated Israeli defenses, impacting near Nevatim."
tp2_w02,tp2,2,,Second Ballistic Salvo (Fattah-1),,,2024-10-01T16:45:00Z,2024-10-01T19:45:00+0300,2024-10-01T20:15:00+0330,0.0,0.0,1,0.25,15.0,,"Fattah-1 hypersonic missiles, Emad, Kheibar Shekan ballistic missiles",False,True,False,True,False,False,True,True,False,False,False,,,False,True,True,True,True,,False,,,,,,True,False,"Mossad/Unit 8200 HQ at Glilot (north Tel Aviv), Nevatim Airbase, Tel Nof Airbase","IL, JO, PS","Israel, Jordan, Palestine",True,False,False,True,False,False,,,32.15,34.79,False,IRGC Aerospace Force launch sites in western Iran,33.5,50.0,False,True,"Arrow-2, Arrow-3, David's Sling",True,True,False,False,,,,True,True,"Most missiles intercepted. Closest impact to Mossad HQ was approximately 500m. Fattah-1 hypersonic missile performance debated — Israel claimed successful interception, Iran claimed successful penetration.",100.0,100.0,0.0,200.0,,Missiles landed near Mossad/Unit 8200 HQ (~500m); homes and restaurant damaged in north Tel Aviv area; additional impacts at Nevatim and Tel Nof,1.0,4.0,5.0,,False,True,False,,"Second wave included Iran's Fattah-1 hypersonic missile in its first confirmed combat use, alongside additional Emad and Kheibar Shekan missiles. This wave targeted the Mossad/Unit 8200 headquarters complex at Glilot near Tel Aviv in addition to the airbases. Satellite imagery later showed missiles landing approximately 500m from the Mossad complex.",,,"https://en.wikipedia.org/wiki/October_2024_Iranian_strikes_on_Israel, https://english.iswnews.com/36492/operation-true-promise-ii-review-on-irans-missile-attack-on-israeli-regime/, https://defensemirror.com/news/37814/Iran_Releases_Info_on_Missiles_Used_in____Operation_True_Promise_II____against_Israel",True,False,False,False,True,False,True,False,False,False,"The second wave of TP2 targeted the Mossad/Unit 8200 headquarters complex at Glilot north of Tel Aviv, marking the first Iranian strike aimed at Israeli intelligence infrastructure. Nevatim and Tel Nof airbases were also targeted again. Two fatalities were reported — the first confirmed deaths from a direct Iranian strike on Israel. The all-ballistic approach of TP2 demonstrated Iran's evolving understanding that fast-moving missiles were more effective at penetrating Israeli defenses than the mixed salvos of TP1."
tp3_w01,tp3,1,,,2025-06-13T18:30:00Z,IRGC,2025-06-13T18:30:00Z,2025-06-13T21:30:00+0300,2025-06-14T00:00:00+0330,0.0,0.0,1,,,,"~100 ballistic missiles, drones",True,True,False,True,True,False,False,False,True,False,True,,,,True,False,False,False,,False,,,,,,True,False,"Military centers, air bases",IL,Israel,True,False,False,True,False,False,,,31.66,34.78,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD, Iron Dome",True,True,False,False,,,,True,True,,100.0,100.0,0.0,,,Serious damage to sensitive military centers in Tel Aviv area,,,,,True,True,False,,,,,,True,False,False,False,False,False,False,False,False,False,"The opening salvo of the Twelve-Day War. Launched on 13 June 2025, this wave targeted military centres and air bases across Israel with ballistic missiles. It marked the beginning of Iran's most sustained aerial campaign to date, which would continue for 22 waves over 12 days."
tp3_w02,tp3,2,,,2025-06-13T19:30:00Z,IRGC,2025-06-13T19:30:00Z,2025-06-13T22:30:00+0300,2025-06-14T01:00:00+0330,0.0,0.0,1,1.0,,,"Ballistic missiles, drones",True,True,False,True,True,False,False,False,True,False,True,,,,True,False,False,False,,False,,,,,,True,False,"Haifa, Galilee",IL,Israel,False,False,True,False,True,False,,,32.835,35.25,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,State of emergency declared across Israel,,,,,False,False,False,,,,,,False,False,False,False,False,False,False,False,False,False,"The second wave shifted targeting to Haifa and the Galilee region in northern Israel, expanding the geographic scope beyond the southern airbases that dominated TP1 and TP2. Ballistic missiles were used alongside drone swarms for the first time in TP3."
tp3_w03,tp3,3,يا علي بن أبي طالب,Ya Ali ibn Abi Talib,2025-06-14T15:00:00Z,IRGC,2025-06-14T15:00:00Z,2025-06-14T18:00:00+0300,2025-06-14T20:30:00+0330,5.0,5.0,2,19.5,,,Dozens of missiles and drones,True,True,False,True,True,False,False,False,True,False,True,,,,True,False,False,False,,False,,,,,,True,False,Occupied territories — penetrated multiple defense layers,IL,Israel,True,False,False,False,False,False,,,32.07,34.77,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,,,,,,False,False,False,,,,,,False,False,False,False,False,False,False,False,False,False,A significant wave that Iran claimed penetrated multiple Israeli defense layers and struck targets in the occupied territories. This represented an escalation in Iranian rhetoric about the effectiveness of their strikes.
tp3_w04,tp3,4,,,2025-06-14T19:00:00Z,IRGC,2025-06-14T19:00:00Z,2025-06-14T22:00:00+0300,2025-06-15T00:30:00+0330,0.0,0.0,2,4.0,,,Ballistic missiles,False,True,False,True,True,False,False,False,False,False,,,,,True,False,False,False,,False,,,,,,True,False,"Tel Aviv, Haifa, other cities",IL,Israel,True,False,True,False,False,False,,,32.445,34.885,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,Continued escalation — strikes on urban areas,,,,,False,False,False,,,,,,False,False,False,False,False,False,False,False,True,False,"A multi-city bombardment targeting both Tel Aviv and Haifa simultaneously, forcing Israel to defend across a wide geographic front. This dual-axis approach became a hallmark of TP3's middle waves."
tp3_w05,tp3,5,,,2025-06-15T05:00:00Z,IRGC,2025-06-15T05:00:00Z,2025-06-15T08:00:00+0300,2025-06-15T10:30:00+0330,5.0,5.0,3,10.0,,,Ballistic missiles,False,True,False,True,True,False,False,False,False,False,,,,,True,False,False,False,,False,,,,,,True,False,"Haifa oil refinery, military targets",IL,Israel,False,False,True,False,False,False,,,32.82,35.0,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,Haifa oil refinery directly hit and shut down,,,,,False,False,True,Houthis joined from Yemen with coordinated launches,,,,,False,False,False,False,False,False,False,True,False,False,This wave marked the first targeting of critical civilian infrastructure — specifically the Haifa oil refinery — alongside military targets. The expansion to economic infrastructure signalled an escalation in Iranian targeting doctrine.
tp3_w06,tp3,6,,,2025-06-15T15:00:00Z,IRGC,2025-06-15T15:00:00Z,2025-06-15T18:00:00+0300,2025-06-15T20:30:00+0330,5.0,5.0,3,10.0,,,Missiles,False,True,False,True,True,False,False,False,False,False,,,,,True,False,False,False,,False,,,,,,True,False,"Israeli C2 centers, Haifa, Tel Aviv; Bat Yam struck",IL,Israel,True,False,True,False,False,False,,,32.445,34.885,True,Western Iran,34.31,47.07,True,True,"Arrow-2, Arrow-3, THAAD, Iron Dome",True,True,False,False,,,,True,True,,,,0.0,,,"Bat Yam residential building struck — 9 killed (incl. 5 Ukrainian nationals), 200+ injured, 61 buildings damaged. Worst single incident of the war.",9.0,200.0,9.0,0.0,False,False,True,Coordinated Houthi/Yemen simultaneous launch,,,,,False,False,False,False,True,False,False,False,True,False,"A wave targeting Israeli command and control centres in Haifa and Tel Aviv. Bat Yam, south of Tel Aviv, was struck — one of the first confirmed impacts in a densely populated residential area during TP3."
